pmid,pmcid,nihmsid,nctid,pub_title,authors,authors_lnames,authors_initials,orcid,authors_affil,pub_date,journal_short,journal_full,pubmed_tags
26535324,4555590,,,Changes in Health-Related Quality of Life and Knee Function After Knee Injury in Young Female Athletes.,Timothy A McGuine; Andrew P Winterstein; Kathleen Carr; Scott Hetzel,McGuine; Winterstein; Carr; Hetzel,TA; AP; K; S,; ; ; ,University of Wisconsin School of Medicine and Public Health; Madison; Wisconsin; USA.; University of Wisconsin School of Medicine and Public Health; Madison; Wisconsin; USA.; University of Wisconsin School of Medicine and Public Health; Madison; Wisconsin; USA.; University of Wisconsin School of Medicine and Public Health; Madison; Wisconsin; USA.,2014-04-01,Orthop J Sports Med,Orthopaedic journal of sports medicine,
24569903,4280363,645255,,Retrospective evaluation of canine and feline maxillomandibular trauma cases. A comparison of signalment with non-maxillomandibular traumatic injuries (2003-2012).,B L Mulherin; C J Snyder; J W Soukup; S Hetzel,Mulherin; Snyder; Soukup; Hetzel,BL; CJ; JW; S,; ; ; ,; Christopher J. Snyder; DVM; DAVDC; Veterinary Dentistry and Oral Surgery; Department of Surgical Sciences; University of Wisconsin-Madison; School of Veterinary Medicine; 2015 Linden Drive; Madison; WI 53706; United States; Phone: +1 608 890 0906; Fax: +1 608 263 7930; E-mail: csnyderdvm@gmail.com.; ; ,2014-01-01,Vet Comp Orthop Traumatol,Veterinary and comparative orthopaedics and traumatology : V.C.O.T,UL1TR000427
29561178,6150845,967314,,Effect of Chronic Intermittent Hypoxia on Angiotensin II Receptors in the Central Nervous System.,Barbara J Morgan; Nicole Schrimpf; Morgan Rothman; Ann Mitzey; Mark S Brownfield; Robert C Speth; John M Dopp,Morgan; Schrimpf; Rothman; Mitzey; Brownfield; Speth; Dopp,BJ; N; M; A; MS; RC; JM,http://orcid.org/0000-0003-2082-3963; ; ; ; ; ; ,a John Rankin Laboratory of Pulmonary Medicine; School of Medicine and Public Health ; University of Wisconsin ; Madison ; WI ; USA.; c Department of Comparative Biosciences; School of Veterinary Medicine ; University of Wisconsin ; Madison ; WI ; USA.; c Department of Comparative Biosciences; School of Veterinary Medicine ; University of Wisconsin ; Madison ; WI ; USA.; c Department of Comparative Biosciences; School of Veterinary Medicine ; University of Wisconsin ; Madison ; WI ; USA.; c Department of Comparative Biosciences; School of Veterinary Medicine ; University of Wisconsin ; Madison ; WI ; USA.; d Department of Pharmaceutical Sciences; College of Pharmacy ; Nova Southeastern University ; Ft. Lauderdale ; FL ; USA.; e Pharmacy Practice Division; School of Pharmacy ; University of Wisconsin ; Madison ; WI ; USA.,2018-03-21,Clin. Exp. Hypertens.,Clinical and experimental hypertension (New York; N.Y. : 1993),
28617161,,,,Insomnia and Relationship With Immunosuppressant Therapy After Lung Transplantation.,Kalynn A Rohde; Zachary W Schlei; Krista M Katers; Ashley K Weber; Marissa M Brokhof; Donald S Hawes; Kelly L Radford; Mary L Francois; Nathan J Menninga; Richard Cornwell; Ruth Benca; Mary S Hayney; John M Dopp,Rohde; Schlei; Katers; Weber; Brokhof; Hawes; Radford; Francois; Menninga; Cornwell; Benca; Hayney; Dopp,KA; ZW; KM; AK; MM; DS; KL; ML; NJ; R; R; MS; JM,; ; ; ; ; ; ; ; ; ; ; ; ,1 Pharmacy Practice Division; School of Pharmacy; University of Wisconsin-Madison; Madison; WI; USA.; 1 Pharmacy Practice Division; School of Pharmacy; University of Wisconsin-Madison; Madison; WI; USA.; 1 Pharmacy Practice Division; School of Pharmacy; University of Wisconsin-Madison; Madison; WI; USA.; 1 Pharmacy Practice Division; School of Pharmacy; University of Wisconsin-Madison; Madison; WI; USA.; 2 University of Wisconsin Hospitals and Clinics; University of Wisconsin-Madison; Madison; WI; USA.; 2 University of Wisconsin Hospitals and Clinics; University of Wisconsin-Madison; Madison; WI; USA.; 2 University of Wisconsin Hospitals and Clinics; University of Wisconsin-Madison; Madison; WI; USA.; 2 University of Wisconsin Hospitals and Clinics; University of Wisconsin-Madison; Madison; WI; USA.; 1 Pharmacy Practice Division; School of Pharmacy; University of Wisconsin-Madison; Madison; WI; USA.; 3 Division of Pulmonary and Critical Care Medicine; Department of Medicine; University of Wisconsin-Madison; Madison; WI; USA.; 4 Wisconsin Sleep Center and Department of Psychiatry; School of Medicine and Public Health; University of Wisconsin-Madison; Madison; WI; USA.; 1 Pharmacy Practice Division; School of Pharmacy; University of Wisconsin-Madison; Madison; WI; USA.; 1 Pharmacy Practice Division; School of Pharmacy; University of Wisconsin-Madison; Madison; WI; USA.,2017-06-01,Prog Transplant,Progress in transplantation (Aliso Viejo; Calif.),
28492862,5710340,,,Establishing Baseline Normative Values for the Child Sport Concussion Assessment Tool.,M Alison Brooks; Traci R Snedden; Benjamin Mixis; Scott Hetzel; Timothy A McGuine,Brooks; Snedden; Mixis; Hetzel; McGuine,MA; TR; B; S; TA,; ; ; ; ,Department of Orthopedics and Rehabilitation; School of Medicine and Public Health; University of Wisconsin-Madison2Department of Pediatrics; School of Medicine and Public Health; University of Wisconsin-Madison.; School of Nursing; University of Wisconsin-Madison.; School of Medicine and Public Health; University of Wisconsin-Madison.; Biostatistics and Medical Informatics; University of Wisconsin-Madison.; Department of Orthopedics and Rehabilitation; School of Medicine and Public Health; University of Wisconsin-Madison2Department of Pediatrics; School of Medicine and Public Health; University of Wisconsin-Madison.,2017-07-01,JAMA Pediatr,JAMA pediatrics,
31168791,,,,Insomnia and other sleep complaints in inflammatory versus noninflammatory skin disorders: An observational case-control study.,Ladan Mostaghimi; Scott Hetzel,Mostaghimi; Hetzel,L; S,; ,Wisconsin Psychocutaneous Clinic; Middleton; WI; USA.; Department of Biostatistics and Medical Informatics; University of Wisconsin - Madison; Madison; WI; USA.,2019-08-01,Int. J. Dermatol.,International journal of dermatology,
29198186,5713647,,NCT02861976,Screening in Trauma for Opioid Misuse Prevention (STOMP): study protocol for the development of an opioid risk screening tool for victims of injury.,Randall Brown; Brienna Deyo; Chelsea Riley; Andrew Quanbeck; Joseph E Glass; Rebecca Turpin; Scott Hetzel; Christopher Nicholas; Maireni Cruz; Suresh Agarwal,Brown; Deyo; Riley; Quanbeck; Glass; Turpin; Hetzel; Nicholas; Cruz; Agarwal,R; B; C; A; JE; R; S; C; M; S,0000-0002-5445-8119; ; ; ; ; ; ; ; ; ,Department of Family Medicine and Community Health; University of Wisconsin; 1100 Delaplaine Ct; Madison; WI; 53715; USA. Randy.Brown@fammed.wisc.edu.; Department of Family Medicine and Community Health; University of Wisconsin; 1100 Delaplaine Ct; Madison; WI; 53715; USA.; Georgia Department of Public Health; 2 Peachtree Street; NW; 15th Floor; Atlanta; GA; 30303; USA.; Department of Family Medicine and Community Health; University of Wisconsin; 1100 Delaplaine Ct; Madison; WI; 53715; USA.; Group Health Research Institute; 1730 Minor Ave #1600; Seattle; WA; 98101; USA.; National Safety Council; 1121 Spring Lake Dr.; Itasca; IL; 60143; USA.; Department of Biostatistics and Medical Informatics; University of Wisconsin; 600 Highland Ave K6/420; Madison; WI; 53792; USA.; Department of Family Medicine and Community Health; University of Wisconsin; 1100 Delaplaine Ct; Madison; WI; 53715; USA.; Department of Family Medicine and Community Health; University of Wisconsin; 1100 Delaplaine Ct; Madison; WI; 53715; USA.; Hospital Trauma Surgery; University of Wisconsin; 600 Highland Ave G5/335; Madison; WI; 53792; USA.,2017-12-04,Addict Sci Clin Pract,Addiction science &amp; clinical practice,
31306587,,,,Effect of a New Rule Limiting Full Contact Practice on the Incidence of Sport-Related Concussion in High School Football Players.,Adam Y Pfaller; M Alison Brooks; Scott Hetzel; Timothy A McGuine,Pfaller; Brooks; Hetzel; McGuine,AY; MA; S; TA,; ; ; ,Department of Orthopedics and Rehabilitation; Division of Sports Medicine; University of Wisconsin-Madison; Madison; Wisconsin; USA.; Department of Orthopedics and Rehabilitation; Division of Sports Medicine; University of Wisconsin-Madison; Madison; Wisconsin; USA.; Department of Biostatistics and Medical Informatics; University of Wisconsin-Madison; Madison; Wisconsin; USA.; Department of Orthopedics and Rehabilitation; Division of Sports Medicine; University of Wisconsin-Madison; Madison; Wisconsin; USA.,2019-08-01,Am J Sports Med,The American journal of sports medicine,
31138050,6953385,1064890,,Assessment of the Role of the Mandibular First Molar Tooth in Mandibular Fracture Patterns of 29 Dogs.,Ellen Scherer; Scott Hetzel; Christopher J Snyder,Scherer; Hetzel; Snyder,E; S; CJ,; ; ,1 Veterinary Dentistry and Oral Surgery; Department of Surgical Sciences; School of Veterinary Medicine; University of Wisconsin-Madison; Madison; WI; USA.; 2 Department of Biostatistics and Medical Informatics; University of Wisconsin-Madison; Madison; WI; USA.; 1 Veterinary Dentistry and Oral Surgery; Department of Surgical Sciences; School of Veterinary Medicine; University of Wisconsin-Madison; Madison; WI; USA.,2019-03-01,J Vet Dent,Journal of veterinary dentistry,
28288281,,,,The Association of Sport Specialization and Training Volume With Injury History in Youth Athletes.,Eric G Post; Stephanie M Trigsted; Jeremy W Riekena; Scott Hetzel; Timothy A McGuine; M Alison Brooks; David R Bell,Post; Trigsted; Riekena; Hetzel; McGuine; Brooks; Bell,EG; SM; JW; S; TA; MA; DR,; ; ; ; ; ; ,Department of Kinesiology; University of Wisconsin-Madison; Madison; Wisconsin; USA.; Department of Kinesiology; University of Wisconsin-Madison; Madison; Wisconsin; USA.; Wisconsin Injury in Sport Laboratory; University of Wisconsin-Madison; Madison; Wisconsin; USA.; Department of Biostatistics and Medical Informatics; University of Wisconsin-Madison; Madison; Wisconsin; USA.; Department of Orthopedics and Rehabilitation; University of Wisconsin-Madison; Madison; Wisconsin; USA.; Department of Orthopedics and Rehabilitation; University of Wisconsin-Madison; Madison; Wisconsin; USA.; Department of Kinesiology; University of Wisconsin-Madison; Madison; Wisconsin; USA.,2017-05-01,Am J Sports Med,The American journal of sports medicine,
31088784,,,NCT02850926,Does soccer headgear reduce the incidence of sport-related concussion? A cluster; randomised controlled trial of adolescent athletes.,Timothy McGuine; Eric Post; Adam Yakuro Pfaller; Scott Hetzel; Allison Schwarz; M Alison Brooks; Stephanie A Kliethermes,McGuine; Post; Pfaller; Hetzel; Schwarz; Brooks; Kliethermes,T; E; AY; S; A; MA; SA,http://orcid.org/0000-0002-3699-5607; ; ; ; ; ; http://orcid.org/0000-0001-9756-7406,Department of Orthopedics and Rehabilitation; University of Wisconsin Madison; Madison; Wisconsin; USA mcguine@ortho.wisc.edu.; School of Exercise and Nutritional Sciences; San Diego State University; San Diego; California; USA.; Department of Orthopedics and Rehabilitation; University of Wisconsin Madison; Madison; Wisconsin; USA.; Biostatistics and Medical Informatics; University of Wisconsin Madison; Madison; Wisconsin; USA.; Department of Orthopedics and Rehabilitation; University of Wisconsin Madison; Madison; Wisconsin; USA.; Department of Orthopedics and Rehabilitation; University of Wisconsin Madison; Madison; Wisconsin; USA.; Department of Orthopedics and Rehabilitation; University of Wisconsin Madison; Madison; Wisconsin; USA.,2019-05-14,Br J Sports Med,British journal of sports medicine,
27595979,5096995,816028,,Oxidative stress augments chemoreflex sensitivity in rats exposed to chronic intermittent hypoxia.,Barbara J Morgan; Melissa L Bates; Rodrigo Del Rio; Zunyi Wang; John M Dopp,Morgan; Bates; Rio; Wang; Dopp,BJ; ML; RD; Z; JM,; ; ; ; ,John Rankin Laboratory of Pulmonary Medicine; School of Medicine and Public Health: University of Wisconsin; Madison; WI 53706; USA; Department of Orthopedics and Rehabilitation; School of Medicine and Public Health; University of Wisconsin; Madison; WI 53706; USA. Electronic address: bjmorgan0107@gmail.com.; Department of Health and Human Physiology; College of Liberal Arts and Sciences; University of Iowa; Iowa City; IA 52242; USA.; Laboratory of Cardiorespiratory Control; Universidad Autónoma de Chile; Santiago; Chile.; Department of Surgical Sciences; School of Veterinary Medicine; University of Wisconsin; Madison; WI 53706; USA.; Pharmacy Practice Division; School of Pharmacy; University of Wisconsin; Madison; WI 53705; USA.,2016-12-01,Respir Physiol Neurobiol,Respiratory physiology &amp; neurobiology,
28978273,,,,Clinical Characterization of Canine Acanthomatous Ameloblastoma (CAA) in 263 dogs and the Influence of Postsurgical Histopathological Margin on Local Recurrence.,Stephanie L Goldschmidt; Cindy M Bell; Scott Hetzel; Jason Soukup,Goldschmidt; Bell; Hetzel; Soukup,SL; CM; S; J,; ; ; ,1 College of Veterinary Medicine; University of Minnesota; St. Paul; MN; USA.; 2 Kansas State Veterinary Diagnostic Lab; Kansas State University; Manhattan; KS; USA.; 4 Department of Biostatistics and Medical Informatics; University of Wisconsin-Madison; Madison; WI; USA.; 3 Center for Comparative Oral and Maxillofacial Pathology; University of Wisconsin-Madison; Madison; WI; USA.,2017-12-01,J Vet Dent,Journal of veterinary dentistry,
31300338,6888946,1531139,,Does Tumor Size Predict Response to Neoadjuvant Chemotherapy in the Modern Era of Biologically Driven Treatment? A Nationwide Study of US Breast Cancer Patients.,Devon Livingston-Rosanoff; Jessica Schumacher; Kara Vande Walle; Trista Stankowski-Drengler; Caprice C Greenberg; Heather Neuman; Lee G Wilke,Livingston-Rosanoff; Schumacher; Vande Walle; Stankowski-Drengler; Greenberg; Neuman; Wilke,D; J; K; T; CC; H; LG,; ; ; ; ; ; ,Division of Surgical Oncology; Department of Surgery; University of Wisconsin; Madison; WI; Wisconsin Institute for Surgical Outcomes Research; Department of Surgery; University of Wisconsin; Madison; WI. Electronic address: livingstonrosanoff@surgery.wisc.edu.; Wisconsin Institute for Surgical Outcomes Research; Department of Surgery; University of Wisconsin; Madison; WI.; Division of Surgical Oncology; Department of Surgery; University of Wisconsin; Madison; WI; Wisconsin Institute for Surgical Outcomes Research; Department of Surgery; University of Wisconsin; Madison; WI.; Division of Surgical Oncology; Department of Surgery; University of Wisconsin; Madison; WI; Wisconsin Institute for Surgical Outcomes Research; Department of Surgery; University of Wisconsin; Madison; WI.; Division of Surgical Oncology; Department of Surgery; University of Wisconsin; Madison; WI; Wisconsin Institute for Surgical Outcomes Research; Department of Surgery; University of Wisconsin; Madison; WI.; Division of Surgical Oncology; Department of Surgery; University of Wisconsin; Madison; WI; Wisconsin Institute for Surgical Outcomes Research; Department of Surgery; University of Wisconsin; Madison; WI.; Division of Surgical Oncology; Department of Surgery; University of Wisconsin; Madison; WI.,2019-12-01,Clin. Breast Cancer,Clinical breast cancer,
27743228,5292060,821856,,Intraoperative Parathyroid Hormone Levels at 5 min Can Identify Multigland Disease.,Amal Alhefdhi; Kamal Ahmad; Rebecca Sippel; Herbert Chen; David F Schneider,Alhefdhi; Ahmad; Sippel; Chen; Schneider,A; K; R; H; DF,; ; ; ; ,Section of Endocrine Surgery; Department of Surgery; K4/738 Clinical Science Center; University of Wisconsin; Madison; WI; USA.; Section of Endocrine Surgery; Department of Surgery; K4/738 Clinical Science Center; University of Wisconsin; Madison; WI; USA.; Section of Endocrine Surgery; Department of Surgery; K4/738 Clinical Science Center; University of Wisconsin; Madison; WI; USA.; Section of Endocrine Surgery; Department of Surgery; K4/738 Clinical Science Center; University of Wisconsin; Madison; WI; USA.; Section of Endocrine Surgery; Department of Surgery; K4/738 Clinical Science Center; University of Wisconsin; Madison; WI; USA. schneiderd@surgery.wisc.edu.,2017-03-01,Ann. Surg. Oncol.,Annals of surgical oncology,
28327073,,,,The Influence of Axial Grooves on Dislodgment Resistance of Prosthetic Metal Crowns in Canine Teeth of Dogs.,Stephanie Goldschmidt; Caitlyn J Collins; Scott Hetzel; Heidi-Lynn Ploeg; Jason W Soukup,Goldschmidt; Collins; Hetzel; Ploeg; Soukup,S; CJ; S; HL; JW,; ; ; ; ,1 Department of Surgical Sciences; School of Veterinary Medicine; University of Wisconsin-Madison; Madison; WI; USA.; 2 Bone and Joint Biomechanics Lab; Department of Mechanical Engineering; College of Engineering; University of Wisconsin-Madison; Madison; WI; USA.; 3 Department of Biostatistics and Medical Informatics; School of Medicine and Public Health; University of Wisconsin-Madison; Madison; WI; USA.; 2 Bone and Joint Biomechanics Lab; Department of Mechanical Engineering; College of Engineering; University of Wisconsin-Madison; Madison; WI; USA.; 1 Department of Surgical Sciences; School of Veterinary Medicine; University of Wisconsin-Madison; Madison; WI; USA.,2016-09-01,J Vet Dent,Journal of veterinary dentistry,
